"old_url","old_path","old_status","old_type","old_title","old_h1","old_canonical","current_old_location","old_article","parent_category","target_url","target_path","target_status","target_type","confidence","reason","action"
"https://cloverspb.ru/registraciya","/registraciya","200","info","Регистрация","Авторизация","","","","","","","","","NO_MATCH","Публичного SEO-эквивалента нет; /lk запрещён как SEO-цель","410"
"https://cloverspb.ru/o-nas","/o-nas","200","info","О нас - Clover, Санкт- Петербург","О нас","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/dostavka","/dostavka","200","info","Доставка компании Clover, Санкт- Петербург","Доставка","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/oplata","/oplata","200","info","Оплата","Оплата","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/aktsii","/aktsii","200","info","Акции","Акции","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/usloviya-vozvrata","/usloviya-vozvrata","200","info","Условия возврата","Условия возврата","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/optovikam","/optovikam","200","info","Оптовикам","Оптовикам","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/registraciya/forgot_password","/registraciya/forgot_password","200","info","Регистрация","Восстановление пароля","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/registraciya/register","/registraciya/register","200","info","Регистрация","Регистрация","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/registraciya/agreement","/registraciya/agreement","200","info","Согласие на обработку персональных данных","Согласие на обработку персональных данных","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/registraciya/policy","/registraciya/policy","200","info","Политика обработки персональных данных","Политика обработки персональных данных","","","","","","","","","NO_MATCH","На новом сайте нет доказанного эквивалентного публичного материала","410"
"https://cloverspb.ru/magazin/product/bumazhnaya-salfetka-100l","/magazin/product/bumazhnaya-salfetka-100l","404","product","Страница не найдена","Страница не найдена","","","Текст","","","","","","NO_MATCH","Старый URL сейчас отвечает 404","404"
